listing_id,make,segment,model_year,vehicle_age,mileage,transmission,fuel_type,engine_size,province,service_history,previous_owners,accident_history,warranty_months,seller_type,colour
SA01243,Volkswagen,Hatchback,2019,7,54500,Automatic,Diesel,1.2,Western Cape,Full,2,No,0,Private,Silver
SA00409,Hyundai,Bakkie,2008,18,254000,Manual,Diesel,2.6,Western Cape,None,5,Yes,0,Private,White
SA01848,Renault,Sedan,2024,2,62500,Manual,Petrol,1.8,KwaZulu-Natal,Partial,2,No,53,Private,Silver
SA02396,Volkswagen,Hatchback,2017,9,145500,Manual,Petrol,1.4,Western Cape,Full,2,No,0,Dealership,White
SA00191,Toyota,Bakkie,2019,7,116500,Automatic,Diesel,2.1,Gauteng,Full,2,No,3,Dealership,Black
SA00108,Nissan,Sedan,2021,5,76000,Automatic,Petrol,2,Mpumalanga,Full,3,No,19,Private,Blue
SA00127,Nissan,Bakkie,2024,2,7500,Automatic,Petrol,2.4,KwaZulu-Natal,Partial,3,No,54,Dealership,Silver
SA01638,Ford,Sedan,2024,2,50500,Manual,Petrol,0.9,Gauteng,Partial,1,No,56,Dealership,Other
SA00991,Kia,SUV,2023,3,10500,Manual,Hybrid,2.1,Gauteng,None,2,No,29,Private,Grey
SA01003,Renault,Bakkie,2024,2,45500,Automatic,Diesel,3.1,Eastern Cape,Partial,1,No,42,Dealership,Silver
SA02315,Toyota,Sedan,2010,16,318500,Manual,Petrol,1.8,Limpopo,Partial,4,No,0,Dealership,White
SA00576,Kia,Sedan,2022,4,146500,Manual,Petrol,2.2,Limpopo,Partial,2,No,12,Dealership,Grey
SA00412,Toyota,Hatchback,2016,10,43500,Manual,Diesel,1.6,KwaZulu-Natal,None,2,No,0,Private,White
SA01865,Ford,Hatchback,2013,13,259000,Manual,Petrol,1.5,KwaZulu-Natal,Partial,4,No,0,Dealership,Grey
SA00435,Ford,SUV,2018,8,105500,Automatic,Petrol,2.3,Gauteng,Full,3,Yes,0,Dealership,Blue
SA00403,Ford,Hatchback,2010,16,350000,Manual,Petrol,1.2,North West,Partial,5,No,0,Dealership,Other
SA00614,Renault,Luxury,2018,8,70000,Automatic,Petrol,3,Mpumalanga,Full,2,No,0,Dealership,White
SA00366,Toyota,Bakkie,2010,16,350000,Automatic,Diesel,2.3,Gauteng,Full,4,No,0,Dealership,White
SA00011,Renault,Hatchback,2017,9,68500,Automatic,Petrol,1.4,Eastern Cape,Partial,2,No,0,Private,Red
SA01529,Toyota,Sedan,2018,8,144500,Automatic,Petrol,1.9,KwaZulu-Natal,None,2,No,0,Dealership,White
SA00620,Hyundai,SUV,2007,19,350000,Automatic,Diesel,2.9,North West,None,4,Yes,0,Private,Blue
SA01217,Renault,SUV,2018,8,222500,Automatic,Diesel,2.7,Western Cape,Partial,2,No,0,Private,Red
SA01041,Ford,Luxury,2014,12,350000,Manual,Petrol,2.9,Gauteng,None,3,No,0,Private,Red
SA01533,BMW,Sedan,2014,12,212500,Manual,Petrol,2.1,KwaZulu-Natal,Partial,3,No,0,Dealership,White
SA00861,Hyundai,Sedan,2022,4,56000,Manual,Petrol,1.8,Gauteng,Partial,3,No,9,Dealership,Grey
SA01841,Suzuki,Luxury,2014,12,16500,Automatic,Petrol,2.6,KwaZulu-Natal,Full,4,Yes,0,Dealership,White
SA01545,Mercedes-Benz,Luxury,2019,7,133500,Automatic,Petrol,2.7,Gauteng,Full,3,Yes,0,Dealership,Silver
SA01438,Ford,Hatchback,2009,17,258000,Manual,Petrol,1.7,Gauteng,Full,4,No,0,Dealership,White
SA01461,Toyota,Sedan,2018,8,219000,Manual,Petrol,1.1,Western Cape,None,3,No,0,Dealership,White
SA01271,Hyundai,Hatchback,2015,11,97000,Manual,Petrol,1,Eastern Cape,Full,3,No,0,Dealership,Silver
SA00236,Volkswagen,Hatchback,2020,6,163000,Manual,Petrol,1.8,Western Cape,Full,2,Yes,19,Dealership,Blue
SA00532,Volkswagen,SUV,2019,7,62500,Manual,Petrol,2.3,Mpumalanga,Full,2,No,0,Dealership,White
SA01945,Ford,Hatchback,2020,6,136500,Automatic,Petrol,1.6,Western Cape,Full,2,No,0,Dealership,White
SA00047,Ford,Hatchback,2021,5,88500,Manual,Petrol,1.1,Eastern Cape,Partial,2,No,16,Private,Silver
SA00009,BMW,Luxury,2024,2,19500,Automatic,Petrol,2.3,North West,Partial,1,No,48,Dealership,White
SA02061,Toyota,Bakkie,2023,3,52500,Automatic,Diesel,2.5,Western Cape,Partial,2,No,39,Private,Grey
SA01809,Kia,SUV,2016,10,108000,Manual,Petrol,2.8,Gauteng,Full,2,No,0,Dealership,White
