listing_id,price,make,segment,model_year,vehicle_age,mileage,transmission,fuel_type,engine_size,province,service_history,previous_owners,accident_history,warranty_months,seller_type,colour
SA01303,107500,Toyota,Hatchback,2018,8,100000,Manual,Petrol,1.6,North West,Full,2,No,0,Private,White
SA00185,108500,Volkswagen,Hatchback,2020,6,104500,Manual,Diesel,1.2,KwaZulu-Natal,Full,2,No,0,Dealership,White
SA00932,82000,Toyota,Sedan,2015,11,113000,Manual,Petrol,1.7,Free State,Full,4,No,0,Dealership,Blue
SA01389,98500,Hyundai,Hatchback,2018,8,2500,Manual,Petrol,0.9,Gauteng,Partial,2,No,0,Private,White
SA01201,100000,Toyota,Bakkie,2012,14,198500,Automatic,Diesel,2.5,North West,Full,3,No,0,Dealership,White
SA01860,50500,Suzuki,Bakkie,2010,16,350000,Manual,Diesel,2.9,Western Cape,Partial,4,No,0,Dealership,White
SA00541,334000,Renault,Bakkie,2022,4,36000,Automatic,Hybrid,2.4,Gauteng,Full,2,No,7,Private,White
SA00966,35000,Ford,SUV,2006,20,180000,Manual,Diesel,2.4,Western Cape,Full,5,No,0,Dealership,Silver
SA01050,28500,Kia,Sedan,2009,17,196500,Manual,Petrol,1.5,Eastern Cape,Full,4,No,0,Dealership,Silver
SA01568,259000,Nissan,Sedan,2023,3,65000,Automatic,Petrol,1.9,Western Cape,Full,2,No,34,Dealership,Silver
SA02255,39500,Hyundai,Hatchback,2011,15,16000,Automatic,Petrol,1.2,North West,Partial,3,No,0,Dealership,Grey
SA00072,112000,BMW,Luxury,2015,11,350000,Automatic,Petrol,3,Western Cape,Full,3,No,0,Private,Silver
SA01652,222000,Kia,Sedan,2022,4,60000,Manual,Petrol,2.6,Eastern Cape,Full,2,No,28,Private,Grey
SA00930,258000,Renault,SUV,2022,4,9000,Automatic,Diesel,2.7,Limpopo,Full,2,No,24,Dealership,Black
SA01139,94500,Volkswagen,Hatchback,2019,7,129000,Automatic,Petrol,1.8,Mpumalanga,Full,3,No,0,Private,Red
SA00706,170000,Toyota,Hatchback,2022,4,109000,Manual,Diesel,0.9,Northern Cape,Full,1,No,18,Dealership,Other
